ESTUDIANTE,PERIODO,PROMEDIO_GENERAL,PEOR_PROMEDIO,ASISTENCIA_PROMEDIO,MAX_INTENTOS,MATERIAS_REPROBADAS,TOTAL_MATERIAS,TASA_REPROBACION,PUNTOS_DESERTOR,CATEGORIA
Estudiante 407,2025 - 2026 CI,9.04,7.88,93.86,1,0,7,0.00,0,BAJO
Estudiante 408,2025 - 2026 CI,9.73,9.73,96.00,1,0,1,0.00,0,BAJO
Estudiante 409,2025 - 2026 CI,9.52,9.52,94.00,1,0,1,0.00,0,BAJO
Estudiante 410,2025 - 2026 CI,9.77,9.77,100.00,1,0,1,0.00,0,BAJO
Estudiante 411,2025 - 2026 CI,8.27,8.27,94.00,1,0,1,0.00,0,BAJO
Estudiante 412,2025 - 2026 CI,8.56,8.56,90.00,1,0,1,0.00,0,BAJO
Estudiante 413,2025 - 2026 CI,9.65,9.65,100.00,1,0,1,0.00,0,BAJO
Estudiante 414,2025 - 2026 CI,8.74,8.74,96.00,1,0,1,0.00,0,BAJO
Estudiante 415,2025 - 2026 CI,8.47,8.47,84.00,2,0,1,0.00,0,ALTO
Estudiante 416,2025 - 2026 CI,8.54,8.54,94.00,1,0,1,0.00,0,BAJO
Estudiante 417,2025 - 2026 CI,0.00,0.00,0.00,2,1,1,1.00,3,DESERTOR
Estudiante 418,2025 - 2026 CI,9.47,9.47,100.00,1,0,1,0.00,0,BAJO
Estudiante 419,2025 - 2026 CI,9.86,9.86,100.00,1,0,1,0.00,0,BAJO
Estudiante 420,2025 - 2026 CI,7.56,7.56,97.00,1,0,1,0.00,0,BAJO
Estudiante 421,2025 - 2026 CI,9.18,9.18,100.00,1,0,1,0.00,0,BAJO
Estudiante 422,2025 - 2026 CI,9.14,9.14,97.00,1,0,1,0.00,0,BAJO
Estudiante 423,2025 - 2026 CI,8.88,8.88,96.00,1,0,1,0.00,0,BAJO
Estudiante 424,2025 - 2026 CI,8.10,8.10,100.00,1,0,1,0.00,0,BAJO
Estudiante 425,2025 - 2026 CI,5.17,5.17,41.00,2,1,1,1.00,1,ALTO
Estudiante 426,2025 - 2026 CI,4.12,4.12,90.00,1,1,1,1.00,1,ALTO
Estudiante 427,2025 - 2026 CI,8.07,8.07,88.00,1,0,1,0.00,0,BAJO
Estudiante 428,2025 - 2026 CI,4.01,4.01,42.00,1,1,1,1.00,1,ALTO
